nct_id,location,continent,iso
NCT04750460,Russian Federation,North Asia,RUS
NCT04767763,Poland,Europe,POL
NCT04776993,Italy,Europe,ITA
NCT04782856,United States,North America,USA
NCT04785443,France,Europe,FRA
NCT04789993,France,Europe,FRA
NCT04798092,France,Europe,FRA
NCT04809454,Pakistan,South Asia,PAK
NCT04823728,France,Europe,FRA
NCT04842994,India,South Asia,IND
NCT04844164,Russian Federation,North Asia,RUS
NCT04846010,United States,North America,USA
NCT04856488,Sweden,Europe,SWE
NCT04876534,Italy,Europe,ITA
NCT04877613,United States,North America,USA
NCT04879173,"Korea, Republic of",East Asia,KOR
NCT04895631,United States,North America,USA
NCT04905641,Thailand,Southeast Asia,THA
NCT04919694,China,East Asia,CHN
NCT04922892,China,East Asia,CHN
NCT04927416,United States,North America,USA
NCT04932135,Switzerland,Europe,CHE
NCT04942769,China,East Asia,CHN
NCT04948671,Switzerland,Europe,CHE
NCT04953195,China,East Asia,CHN
NCT04969926,United States,North America,USA
NCT04988802,Croatia,Europe,HRV
NCT04998968,Sweden,Europe,SWE
NCT05002998,Spain,Europe,ESP
NCT05002998,United States,North America,USA
NCT05007093,China,East Asia,CHN
NCT05012033,United Kingdom,Europe,GBR
NCT05015127,China,East Asia,CHN
NCT05017142,Switzerland,Europe,CHE
NCT05019118,Spain,Europe,ESP
NCT05022641,United States,North America,USA
NCT05043233,China,East Asia,CHN
NCT05049603,Italy,Europe,ITA
NCT05059470,United States,North America,USA
NCT05068687,Belgium,Europe,BEL
NCT05070091,Poland,Europe,POL
NCT05098600,Czechia,Europe,CZE
NCT05108298,United States,North America,USA
NCT05110040,China,East Asia,CHN
NCT05112211,China,East Asia,CHN
NCT05117853,Belgium,Europe,BEL
NCT05118542,Indonesia,Southeast Asia,IDN
NCT05119296,United States,North America,USA
NCT05126147,Taiwan,East Asia,TWN
NCT05126706,"Korea, Republic of",East Asia,KOR
NCT05130476,Denmark,Europe,DNK
NCT05142904,Netherlands,Europe,NLD
NCT05149898,Australia,Pacifica,AUS
NCT05149898,United States,North America,USA
NCT05176639,United States,North America,USA
NCT05180214,Egypt,Africa,EGY
NCT05189314,United States,North America,USA
NCT05189808,United States,North America,USA
NCT05189821,United States,North America,USA
NCT05199103,Poland,Europe,POL
NCT05214274,China,East Asia,CHN
NCT05216718,"Korea, Republic of",East Asia,KOR
NCT05225883,France,Europe,FRA
NCT05229341,United States,North America,USA
NCT05239221,Hungary,Europe,HUN
