index,nct_id,category_age
1415,NCT02070211,[0-17]
1415,NCT02070211,[18-65]
1420,NCT02089542,[18-65]
1420,NCT02089542,[65 and more]
1422,NCT02090907,[18-65]
1422,NCT02090907,[65 and more]
1425,NCT02102204,[18-65]
1425,NCT02102204,[65 and more]
1427,NCT02107794,[18-65]
1427,NCT02107794,[65 and more]
1430,NCT02109250,[18-65]
1430,NCT02109250,[65 and more]
1431,NCT02112370,[18-65]
1431,NCT02112370,[65 and more]
1433,NCT02112643,[18-65]
1433,NCT02112643,[65 and more]
1436,NCT02114619,[18-65]
1436,NCT02114619,[65 and more]
1442,NCT02126683,[18-65]
1446,NCT02133404,[18-65]
1446,NCT02133404,[65 and more]
1447,NCT02138214,[18-65]
1447,NCT02138214,[65 and more]
1449,NCT02138838,[0-17]
1454,NCT02140476,[18-65]
1454,NCT02140476,[65 and more]
1457,NCT02143271,[18-65]
1457,NCT02143271,[65 and more]
1458,NCT02143726,[18-65]
1458,NCT02143726,[65 and more]
1461,NCT02147782,[18-65]
1464,NCT02150772,[18-65]
1464,NCT02150772,[65 and more]
1469,NCT02152995,[18-65]
1469,NCT02152995,[65 and more]
1472,NCT02155049,[18-65]
1472,NCT02155049,[65 and more]
1477,NCT02169687,[18-65]
1477,NCT02169687,[65 and more]
1482,NCT02186405,[18-65]
1482,NCT02186405,[65 and more]
1488,NCT02190214,[18-65]
1488,NCT02190214,[65 and more]
1491,NCT02194920,[0-17]
1491,NCT02194920,[18-65]
1491,NCT02194920,[65 and more]
1497,NCT02203682,[18-65]
1497,NCT02203682,[65 and more]
1502,NCT02205801,[18-65]
1502,NCT02205801,[65 and more]
1508,NCT02210741,[18-65]
1508,NCT02210741,[65 and more]
1511,NCT02216656,[18-65]
1511,NCT02216656,[65 and more]
1519,NCT02227264,[18-65]
1519,NCT02227264,[65 and more]
1525,NCT02246504,[18-65]
1525,NCT02246504,[65 and more]
1527,NCT02258347,[18-65]
1527,NCT02258347,[65 and more]
1529,NCT02268734,[18-65]
1529,NCT02268734,[65 and more]
1531,NCT02273570,[18-65]
1531,NCT02273570,[65 and more]
1534,NCT02274623,[18-65]
1534,NCT02274623,[65 and more]
1539,NCT02282813,[18-65]
1539,NCT02282813,[65 and more]
1541,NCT02289144,[18-65]
1541,NCT02289144,[65 and more]
1543,NCT02290704,[18-65]
1543,NCT02290704,[65 and more]
1555,NCT02316691,[18-65]
1555,NCT02316691,[65 and more]
1558,NCT02316743,[18-65]
1558,NCT02316743,[65 and more]
1565,NCT02319538,[18-65]
1565,NCT02319538,[65 and more]
1570,NCT02332135,[18-65]
1570,NCT02332135,[65 and more]
1572,NCT02338934,[18-65]
1572,NCT02338934,[65 and more]
1575,NCT02339142,[18-65]
1575,NCT02339142,[65 and more]
1579,NCT02341417,[0-17]
